"Date","Price","Open","High","Low","Change %"
"Sep 06, 2000","8.2794","8.2794","8.2794","8.2794","0.00%"
"Sep 05, 2000","8.2790","8.2790","8.2790","8.2790","0.00%"
"Sep 04, 2000","8.2786","8.2786","8.2786","8.2786","-0.00%"
"Sep 01, 2000","8.2787","8.2787","8.2787","8.2787","0.00%"
"Aug 31, 2000","8.2786","8.2786","8.2786","8.2786","-0.00%"
"Aug 30, 2000","8.2788","8.2788","8.2788","8.2788","-0.01%"
"Aug 29, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 28, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 25, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 24, 2000","8.2799","8.2799","8.2799","8.2799","0.01%"
"Aug 23, 2000","8.2793","8.2793","8.2793","8.2793","-0.01%"
"Aug 22, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 21, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 18, 2000","8.2797","8.2797","8.2797","8.2797","-0.00%"
"Aug 17, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 16, 2000","8.2797","8.2797","8.2797","8.2797","0.01%"
"Aug 15, 2000","8.2788","8.2788","8.2788","8.2788","-0.01%"
"Aug 14, 2000","8.2795","8.2795","8.2795","8.2795","-0.00%"
"Aug 11, 2000","8.2796","8.2796","8.2796","8.2796","-0.00%"
"Aug 10, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 09, 2000","8.2798","8.2798","8.2798","8.2798","-0.00%"
"Aug 08, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 07, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Aug 04, 2000","8.2798","8.2798","8.2798","8.2798","0.00%"
"Aug 03, 2000","8.2796","8.2796","8.2796","8.2796","0.01%"
"Aug 02, 2000","8.2791","8.2791","8.2791","8.2791","0.00%"
"Aug 01, 2000","8.2788","8.2788","8.2788","8.2788","-0.00%"
"Jul 31, 2000","8.2792","8.2792","8.2792","8.2792","-0.00%"
"Jul 28, 2000","8.2794","8.2794","8.2794","8.2794","0.00%"
"Jul 27, 2000","8.2793","8.2793","8.2793","8.2793","-0.00%"
"Jul 26, 2000","8.2796","8.2796","8.2796","8.2796","-0.00%"
"Jul 25, 2000","8.2797","8.2797","8.2797","8.2797","-0.00%"
"Jul 24, 2000","8.2798","8.2798","8.2798","8.2798","0.00%"
"Jul 21, 2000","8.2795","8.2795","8.2795","8.2795","-0.00%"
"Jul 20, 2000","8.2796","8.2796","8.2796","8.2796","0.00%"
"Jul 19, 2000","8.2796","8.2796","8.2796","8.2796","0.00%"
"Jul 18, 2000","8.2796","8.2796","8.2796","8.2796","0.01%"
"Jul 17, 2000","8.2791","8.2791","8.2791","8.2791","-0.01%"
"Jul 14, 2000","8.2796","8.2796","8.2796","8.2796","0.01%"
"Jul 13, 2000","8.2791","8.2791","8.2791","8.2791","-0.00%"
"Jul 12, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Jul 11, 2000","8.2794","8.2794","8.2794","8.2794","-0.00%"
"Jul 10, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Jul 07, 2000","8.2793","8.2793","8.2793","8.2793","0.00%"
"Jul 06, 2000","8.2791","8.2791","8.2791","8.2791","0.00%"
"Jul 05, 2000","8.2787","8.2787","8.2787","8.2787","-0.00%"
"Jul 04, 2000","8.2789","8.2789","8.2789","8.2789","0.00%"
"Jul 03, 2000","8.2786","8.2786","8.2786","8.2786","0.00%"
"Jun 30, 2000","8.2782","8.2782","8.2782","8.2782","0.00%"
"Jun 29, 2000","8.2780","8.2780","8.2780","8.2780","0.01%"
"Jun 28, 2000","8.2775","8.2775","8.2775","8.2775","0.00%"
"Jun 27, 2000","8.2774","8.2774","8.2774","8.2774","0.00%"
"Jun 26, 2000","8.2773","8.2773","8.2773","8.2773","0.00%"
"Jun 23, 2000","8.2769","8.2769","8.2769","8.2769","-0.00%"
"Jun 22, 2000","8.2771","8.2771","8.2771","8.2771","-0.00%"
"Jun 21, 2000","8.2772","8.2772","8.2772","8.2772","0.00%"
"Jun 20, 2000","8.2770","8.2770","8.2770","8.2770","0.00%"
"Jun 19, 2000","8.2768","8.2768","8.2768","8.2768","0.00%"
"Jun 16, 2000","8.2768","8.2768","8.2768","8.2768","0.00%"
"Jun 15, 2000","8.2768","8.2768","8.2768","8.2768","0.00%"
"Jun 14, 2000","8.2768","8.2768","8.2768","8.2768","-0.00%"
"Jun 13, 2000","8.2770","8.2770","8.2770","8.2770","-0.00%"
"Jun 12, 2000","8.2771","8.2771","8.2771","8.2771","-0.00%"
"Jun 09, 2000","8.2772","8.2772","8.2772","8.2772","-0.00%"
"Jun 08, 2000","8.2775","8.2775","8.2775","8.2775","0.00%"
"Jun 07, 2000","8.2773","8.2773","8.2773","8.2773","0.00%"
"Jun 06, 2000","8.2773","8.2773","8.2773","8.2773","0.00%"
"Jun 05, 2000","8.2770","8.2770","8.2770","8.2770","-0.00%"
"Jun 02, 2000","8.2771","8.2771","8.2771","8.2771","0.00%"
"Jun 01, 2000","8.2771","8.2771","8.2771","8.2771","-0.00%"
"May 31, 2000","8.2773","8.2773","8.2773","8.2773","0.00%"
"May 30, 2000","8.2772","8.2772","8.2772","8.2772","0.00%"
"May 29, 2000","8.2768","8.2768","8.2768","8.2768","-0.00%"
"May 26, 2000","8.2771","8.2771","8.2771","8.2771","-0.00%"
"May 25, 2000","8.2773","8.2773","8.2773","8.2773","0.00%"
"May 24, 2000","8.2769","8.2769","8.2769","8.2769","0.00%"
"May 23, 2000","8.2768","8.2768","8.2768","8.2768","-0.00%"
"May 22, 2000","8.2770","8.2770","8.2770","8.2770","0.00%"
"May 19, 2000","8.2768","8.2768","8.2768","8.2768","-0.01%"
"May 18, 2000","8.2773","8.2773","8.2773","8.2773","0.01%"
"May 17, 2000","8.2768","8.2768","8.2768","8.2768","-0.00%"
"May 16, 2000","8.2772","8.2772","8.2772","8.2772","-0.01%"
"May 15, 2000","8.2777","8.2777","8.2777","8.2777","-0.00%"
"May 12, 2000","8.2778","8.2778","8.2778","8.2778","-0.00%"
"May 11, 2000","8.2782","8.2782","8.2782","8.2782","-0.00%"
"May 10, 2000","8.2785","8.2785","8.2785","8.2785","-0.01%"
"May 09, 2000","8.2790","8.2790","8.2790","8.2790","-0.01%"
"May 08, 2000","8.2798","8.2798","8.2798","8.2798","-0.00%"
"May 05, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"May 04, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"May 03, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"May 02, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"May 01, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Apr 28, 2000","8.2799","8.2799","8.2799","8.2799","0.00%"
"Apr 27, 2000","8.2798","8.2798","8.2798","8.2798","0.00%"
"Apr 26, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Apr 25, 2000","8.2791","8.2791","8.2791","8.2791","0.01%"
"Apr 24, 2000","8.2786","8.2786","8.2786","8.2786","0.00%"
"Apr 21, 2000","8.2785","8.2785","8.2785","8.2785","-0.01%"
"Apr 20, 2000","8.2791","8.2791","8.2791","8.2791","-0.00%"
"Apr 19, 2000","8.2793","8.2793","8.2793","8.2793","0.00%"
"Apr 18, 2000","8.2790","8.2790","8.2790","8.2790","-0.00%"
"Apr 17, 2000","8.2794","8.2794","8.2794","8.2794","0.00%"
"Apr 14, 2000","8.2794","8.2794","8.2794","8.2794","0.00%"
"Apr 13, 2000","8.2794","8.2794","8.2794","8.2794","-0.00%"
"Apr 12, 2000","8.2796","8.2796","8.2796","8.2796","0.01%"
"Apr 11, 2000","8.2791","8.2791","8.2791","8.2791","-0.01%"
"Apr 10, 2000","8.2798","8.2798","8.2798","8.2798","0.00%"
"Apr 07, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Apr 06, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Apr 05, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Apr 04, 2000","8.2791","8.2791","8.2791","8.2791","0.01%"
"Apr 03, 2000","8.2786","8.2786","8.2786","8.2786","-0.00%"
"Mar 31, 2000","8.2787","8.2787","8.2787","8.2787","-0.00%"
"Mar 30, 2000","8.2788","8.2788","8.2788","8.2788","-0.00%"
"Mar 29, 2000","8.2789","8.2789","8.2789","8.2789","-0.01%"
"Mar 28, 2000","8.2795","8.2795","8.2795","8.2795","0.00%"
"Mar 27, 2000","8.2792","8.2792","8.2792","8.2792","0.00%"
"Mar 24, 2000","8.2789","8.2789","8.2789","8.2789","0.00%"
"Mar 23, 2000","8.2787","8.2787","8.2787","8.2787","0.00%"
"Mar 22, 2000","8.2783","8.2783","8.2783","8.2783","0.00%"
"Mar 21, 2000","8.2783","8.2783","8.2783","8.2783","-0.00%"
"Mar 20, 2000","8.2786","8.2786","8.2786","8.2786","0.00%"
"Mar 17, 2000","8.2785","8.2785","8.2785","8.2785","0.01%"
"Mar 16, 2000","8.2777","8.2777","8.2777","8.2777","-0.00%"
"Mar 15, 2000","8.2778","8.2778","8.2778","8.2778","-0.00%"
"Mar 14, 2000","8.2780","8.2780","8.2780","8.2780","-0.00%"
"Mar 13, 2000","8.2781","8.2781","8.2781","8.2781","-0.00%"
"Mar 10, 2000","8.2785","8.2785","8.2785","8.2785","-0.00%"
"Mar 09, 2000","8.2787","8.2787","8.2787","8.2787","0.00%"
