"Date","Price","Open","High","Low","Change %"
"Nov 16, 2000","1,139.80","1,137.50","1,140.40","1,136.50","0.23%"
"Nov 15, 2000","1,137.20","1,132.50","1,138.10","1,132.50","-0.03%"
"Nov 14, 2000","1,137.50","1,139.50","1,139.50","1,137.00","-0.18%"
"Nov 13, 2000","1,139.50","1,137.50","1,140.50","1,137.50","0.35%"
"Nov 10, 2000","1,135.50","1,131.50","1,136.20","1,131.50","0.40%"
"Nov 09, 2000","1,131.00","1,134.50","1,137.90","1,131.00","-0.35%"
"Nov 08, 2000","1,135.00","1,137.50","1,140.30","1,135.00","-0.22%"
"Nov 07, 2000","1,137.50","1,133.50","1,137.70","1,133.50","0.35%"
"Nov 06, 2000","1,133.50","1,134.20","1,134.80","1,130.50","-0.11%"
"Nov 03, 2000","1,134.80","1,135.50","1,135.50","1,132.50","-0.04%"
"Nov 02, 2000","1,135.30","1,136.80","1,137.20","1,134.00","-0.13%"
"Nov 01, 2000","1,136.80","1,137.50","1,137.80","1,136.00","-0.06%"
"Oct 31, 2000","1,137.50","1,143.50","1,143.50","1,137.50","-0.09%"
"Oct 30, 2000","1,138.50","1,134.50","1,139.50","1,133.50","0.18%"
"Oct 27, 2000","1,136.50","1,135.50","1,138.50","1,119.50","0.26%"
"Oct 26, 2000","1,133.50","1,138.50","1,142.60","1,133.50","-0.44%"
"Oct 25, 2000","1,138.50","1,136.50","1,139.50","1,136.50","0.18%"
"Oct 24, 2000","1,136.50","1,136.00","1,139.00","1,126.50","-0.35%"
"Oct 23, 2000","1,140.50","1,130.50","1,141.00","1,129.50","0.71%"
"Oct 20, 2000","1,132.50","1,129.50","1,132.50","1,126.50","0.27%"
"Oct 19, 2000","1,129.50","1,138.50","1,144.00","1,129.50","-0.79%"
"Oct 18, 2000","1,138.50","1,139.50","1,143.00","1,134.50","0.35%"
"Oct 17, 2000","1,134.50","1,128.50","1,134.80","1,123.50","0.53%"
"Oct 16, 2000","1,128.50","1,124.50","1,129.20","1,124.00","-0.18%"
"Oct 13, 2000","1,130.50","1,114.50","1,133.00","1,113.50","0.80%"
"Oct 12, 2000","1,121.50","1,114.50","1,126.50","1,114.50","-0.09%"
"Oct 11, 2000","1,122.50","1,121.50","1,126.50","1,112.50","0.18%"
"Oct 10, 2000","1,120.50","1,118.00","1,120.70","1,117.50","0.31%"
"Oct 09, 2000","1,117.00","1,114.00","1,118.20","1,107.00","-0.04%"
"Oct 06, 2000","1,117.50","1,116.50","1,120.50","1,116.50","-0.03%"
"Oct 05, 2000","1,117.85","1,117.35","1,119.55","1,114.85","-0.15%"
"Oct 04, 2000","1,119.50","1,119.50","1,123.50","1,115.00","0.09%"
"Oct 03, 2000","1,118.50","1,118.50","1,120.00","1,118.50","0.03%"
"Oct 02, 2000","1,118.15","1,112.75","1,118.25","1,106.25","0.27%"
"Sep 29, 2000","1,115.15","1,112.65","1,116.25","1,112.65","-0.06%"
"Sep 28, 2000","1,115.80","1,112.60","1,116.10","1,112.10","0.12%"
"Sep 27, 2000","1,114.50","1,118.10","1,118.10","1,113.00","-0.45%"
"Sep 26, 2000","1,119.50","1,122.50","1,124.50","1,116.50","-0.49%"
"Sep 25, 2000","1,125.00","1,129.00","1,129.00","1,113.00","-0.88%"
"Sep 22, 2000","1,135.00","1,129.00","1,136.50","1,129.00","0.71%"
"Sep 21, 2000","1,127.00","1,125.00","1,132.50","1,119.00","0.04%"
"Sep 20, 2000","1,126.50","1,125.50","1,126.50","1,118.00","0.00%"
"Sep 19, 2000","1,126.50","1,130.50","1,134.00","1,120.50","-0.53%"
"Sep 18, 2000","1,132.50","1,128.50","1,139.40","1,124.50","1.13%"
"Sep 15, 2000","1,119.85","1,115.05","1,120.15","1,115.05","0.42%"
"Sep 14, 2000","1,115.15","1,110.05","1,115.15","1,105.05","0.51%"
"Sep 13, 2000","1,109.50","1,109.50","1,109.50","1,109.50","0.00%"
"Sep 12, 2000","1,109.50","1,109.50","1,109.50","1,109.50","0.05%"
"Sep 11, 2000","1,109.00","1,109.00","1,109.00","1,109.00","0.00%"
"Sep 08, 2000","1,109.00","1,110.50","1,110.90","1,107.80","-0.14%"
"Sep 07, 2000","1,110.50","1,107.80","1,111.00","1,107.60","0.28%"
"Sep 06, 2000","1,107.35","1,105.05","1,107.75","1,104.95","0.19%"
"Sep 05, 2000","1,105.30","1,104.30","1,105.40","1,104.30","0.09%"
"Sep 04, 2000","1,104.35","1,105.95","1,106.45","1,103.75","-0.10%"
"Sep 01, 2000","1,105.50","1,109.20","1,109.40","1,105.50","-0.29%"
"Aug 31, 2000","1,108.75","1,108.75","1,110.05","1,108.55","0.02%"
"Aug 30, 2000","1,108.55","1,110.35","1,110.35","1,108.05","-0.14%"
"Aug 29, 2000","1,110.15","1,111.05","1,112.15","1,110.05","-0.12%"
"Aug 28, 2000","1,111.50","1,114.40","1,114.40","1,111.50","-0.23%"
"Aug 25, 2000","1,114.05","1,113.95","1,114.35","1,113.55","-0.01%"
"Aug 24, 2000","1,114.15","1,114.35","1,114.55","1,113.85","-0.03%"
"Aug 23, 2000","1,114.45","1,114.25","1,115.35","1,114.25","0.04%"
"Aug 22, 2000","1,114.02","1,114.12","1,114.82","1,113.62","-0.04%"
"Aug 21, 2000","1,114.45","1,114.75","1,114.85","1,114.15","-0.05%"
"Aug 18, 2000","1,115.05","1,114.25","1,115.45","1,114.05","0.05%"
"Aug 17, 2000","1,114.50","1,115.20","1,115.40","1,114.50","-0.06%"
"Aug 16, 2000","1,115.15","1,115.05","1,115.55","1,114.45","-0.09%"
"Aug 15, 2000","1,116.15","1,115.15","1,116.15","1,115.15","-0.03%"
"Aug 14, 2000","1,116.50","1,115.20","1,116.50","1,114.50","0.09%"
"Aug 11, 2000","1,115.50","1,115.00","1,115.90","1,114.60","0.09%"
"Aug 10, 2000","1,114.45","1,114.65","1,114.75","1,113.65","-0.03%"
"Aug 09, 2000","1,114.80","1,114.50","1,115.80","1,114.40","-0.15%"
"Aug 08, 2000","1,116.50","1,117.60","1,118.10","1,116.00","-0.08%"
"Aug 07, 2000","1,117.35","1,115.55","1,117.65","1,115.55","0.17%"
"Aug 04, 2000","1,115.50","1,114.90","1,116.40","1,114.50","0.06%"
"Aug 03, 2000","1,114.85","1,115.65","1,115.65","1,114.25","-0.08%"
"Aug 02, 2000","1,115.70","1,115.80","1,116.40","1,115.10","-0.00%"
"Aug 01, 2000","1,115.75","1,116.05","1,116.75","1,115.45","-0.09%"
"Jul 31, 2000","1,116.75","1,118.15","1,118.45","1,115.75","0.00%"
"Jul 28, 2000","1,116.75","1,113.75","1,118.35","1,113.75","0.20%"
"Jul 27, 2000","1,114.50","1,115.80","1,116.30","1,113.60","-0.09%"
"Jul 26, 2000","1,115.50","1,115.50","1,117.20","1,114.90","0.00%"
"Jul 25, 2000","1,115.50","1,115.00","1,116.00","1,114.30","0.13%"
"Jul 24, 2000","1,114.05","1,112.65","1,114.25","1,112.65","0.11%"
"Jul 21, 2000","1,112.80","1,111.70","1,112.90","1,111.20","0.11%"
"Jul 20, 2000","1,111.55","1,112.15","1,113.25","1,110.75","-0.06%"
"Jul 19, 2000","1,112.20","1,114.00","1,114.10","1,111.80","-0.13%"
"Jul 18, 2000","1,113.60","1,113.00","1,114.30","1,112.60","0.07%"
"Jul 17, 2000","1,112.85","1,112.85","1,112.85","1,112.85","0.00%"
"Jul 14, 2000","1,112.80","1,111.90","1,113.90","1,110.40","0.20%"
"Jul 13, 2000","1,110.55","1,116.35","1,116.55","1,110.55","-0.44%"
"Jul 12, 2000","1,115.50","1,116.50","1,116.60","1,115.30","-0.08%"
