,y01,y10,y20,gold_price,National-US,sp500_price,sp500_volume,fed_rate
1950-01-01,,,,34.73,,,,
1950-02-01,,,,34.73,,,,
1950-03-01,,,,34.73,,,,
1950-04-01,,,,34.73,,,,
1950-05-01,,,,34.73,,,,
1950-06-01,,,,34.73,,,,
1950-07-01,,,,34.73,,,,
1950-08-01,,,,34.73,,,,
1950-09-01,,,,34.73,,,,
1950-10-01,,,,34.73,,,,
1950-11-01,,,,34.73,,,,
1950-12-01,,,,34.72,,,,
1951-01-01,,,,34.72,,,,
1951-02-01,,,,34.73,,,,
1951-03-01,,,,34.73,,,,
1951-04-01,,,,34.73,,,,
1951-05-01,,,,34.73,,,,
1951-06-01,,,,34.73,,,,
1951-07-01,,,,34.72,,,,
1951-08-01,,,,34.71,,,,
1951-09-01,,,,34.71,,,,
1951-10-01,,,,34.71,,,,
1951-11-01,,,,34.73,,,,
1951-12-01,,,,34.66,,,,
1952-01-01,,,,34.49,,,,
1952-02-01,,,,34.49,,,,
1952-03-01,,,,34.68,,,,
1952-04-01,,,,34.82,,,,
1952-05-01,,,,34.73,,,,
1952-06-01,,,,34.53,,,,
1952-07-01,,,,34.57,,,,
1952-08-01,,,,34.58,,,,
1952-09-01,,,,34.51,,,,
1952-10-01,,,,34.63,,,,
1952-11-01,,,,34.72,,,,
1952-12-01,,,,34.79,,,,
1953-01-01,,,,34.88,,,,
1953-02-01,,,,34.95,,,,
1953-03-01,,,,34.92,,,,
1953-04-01,,,,34.93,,,,
1953-05-01,,,,34.9,,,,
1953-06-01,,,,34.89,,,,
1953-07-01,,,,34.91,,,,
1953-08-01,,,,34.91,,,,
1953-09-01,,,,34.76,,,,
1953-10-01,,,,34.79,,,,
1953-11-01,,,,34.86,,,,
1953-12-01,,,,34.85,,,,
1954-01-01,,,,34.86,,,,
1954-02-01,,,,34.88,,,,
1954-03-01,,,,34.92,,,,
1954-04-01,,,,35.04,,,,
1954-05-01,,,,35.08,,,,
1954-06-01,,,,35.07,,,,
1954-07-01,,,,35.08,,,,75.0
1954-08-01,,,,35.05,,,,125.0
1954-09-01,,,,35.08,,,,100.0
1954-10-01,,,,35.08,,,,75.0
1954-11-01,,,,35.06,,,,75.0
1954-12-01,,,,35.04,,,,125.0
1955-01-01,,,,35.04,,,,150.0
1955-02-01,,,,35.05,,,,125.0
1955-03-01,,,,35.06,,,,125.0
1955-04-01,,,,35.05,,,,150.0
1955-05-01,,,,35.05,,,,150.0
1955-06-01,,,,35.04,,,,175.0
1955-07-01,,,,35.05,,,,175.0
1955-08-01,,,,35.03,,,,200.0
1955-09-01,,,,34.98,,,,225.0
1955-10-01,,,,34.98,,,,225.0
1955-11-01,,,,34.98,,,,225.0
1955-12-01,,,,34.97,,,,250.0
1956-01-01,,,,34.99,,,,250.0
1956-02-01,,,,34.99,,,,250.0
1956-03-01,,,,34.99,,,,250.0
1956-04-01,,,,34.98,,,,250.0
1956-05-01,,,,34.99,,,,275.0
1956-06-01,,,,34.98,,,,275.0
1956-07-01,,,,35.0,,,,275.0
1956-08-01,,,,35.02,,,,275.0
1956-09-01,,,,35.01,,,,300.0
1956-10-01,,,,35.02,,,,300.0
1956-11-01,,,,34.98,,,,300.0
1956-12-01,,,,34.9,,,,300.0
1957-01-01,,,,34.88,,,,275.0
1957-02-01,,,,34.89,,,,300.0
1957-03-01,,,,34.91,,,,300.0
1957-04-01,,,,34.92,,,,300.0
1957-05-01,,,,34.93,,,,300.0
1957-06-01,,,,34.99,,,,300.0
1957-07-01,,,,34.99,,,,300.0
1957-08-01,,,,34.97,,,,325.0
1957-09-01,,,,34.96,,,,350.0
1957-10-01,,,,34.97,,,,350.0
1957-11-01,,,,34.97,,,,325.0
1957-12-01,,,,34.99,,,,300.0
1958-01-01,,,,35.01,,,,275.0
1958-02-01,,,,35.08,,,,175.0
1958-03-01,,,,35.09,,,,125.0
1958-04-01,,,,35.1,,,,125.0
1958-05-01,,,,35.11,,,,75.0
1958-06-01,,,,35.1,,,,100.0
1958-07-01,,,,35.11,,,,75.0
1958-08-01,,,,35.1,,,,150.0
1958-09-01,,,,35.1,,,,175.0
1958-10-01,,,,35.11,,,,175.0
1958-11-01,,,,35.1,,,,225.0
1958-12-01,,,,35.09,,,,250.0
1959-01-01,,,,35.07,,,,250.0
1959-02-01,,,,35.06,,,,250.0
1959-03-01,,,,35.06,,,,275.0
1959-04-01,,,,35.08,,,,300.0
1959-05-01,,,,35.12,,,,300.0
1959-06-01,,,,35.12,,,,350.0
1959-07-01,,,,35.13,,,,350.0
1959-08-01,,,,35.12,,,,350.0
1959-09-01,,,,35.13,,,,375.0
1959-10-01,,,,35.1,,,,400.0
1959-11-01,,,,35.06,,,,400.0
1959-12-01,,,,35.05,,,,400.0
1960-01-01,,,,35.09,,,,400.0
1960-02-01,,,,35.09,,,,400.0
1960-03-01,,,,35.09,,,,375.0
1960-04-01,,,,35.11,,,,400.0
1960-05-01,,,,35.1,,,,375.0
1960-06-01,,,,35.09,,,,325.0
1960-07-01,,,,35.1,,,,325.0
1960-08-01,,,,35.13,,,,300.0
1960-09-01,,,,35.22,,,,250.0
